application_name,AMBEO Augmented Audio Lab,AmiKasa,Angry Birds,Angry Birds FPS,BMW Head-up Display,Civilisations AR,Curate,Dr G Invaders,FlippyFriendsAR,Fragments,Galaxy Explorer,GIPHY World,Google Maps,Google Translate,Holo,HoloAnatomy,HoloHuman,HoloTour,Houzz,IBM,IKEA place,Just a line,Magic Leap Create,Mondly,Obsess,Pokémon Go,PresentAR,Quiver,SeeSignal,Sephora Virtual Artist,Sky View,Skylight,Snapchat,Spatial.io,Spatial.io 2,Virtual training programs,Vision Picking,WallaMe,Wanna Kicks,WorkLink,WSJ Stock Data
object_recognition,,,,,checked,,,checked,,,,,,,,,,,,checked,,,checked,,,,,,,,,checked,checked,,,,checked,,checked,,
dof_6,checked,,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,,,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
dof_3,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
room_scene_tracking,checked,,,checked,,,,checked,,checked,,,,,,,,checked,,,,,checked,,,,,,checked,,,,,,checked,,,,,,
image_tracking,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,checked,,,,checked,checked,,,,checked,,,,
facial_recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,checked,,,,,,,,
location_tracking,checked,,,checked,checked,,,checked,,checked,checked,,checked,,,checked,checked,checked,,,,,checked,,,checked,checked,,checked,,checked,checked,checked,,checked,checked,checked,checked,,,checked
cross_platform,,checked,checked,checked,checked,checked,,,checked,,checked,,checked,checked,checked,checked,,,checked,checked,checked,checked,,checked,,checked,checked,checked,,checked,checked,,checked,,checked,checked,,checked,checked,checked,
motion_tracking,,,,,checked,,,checked,,,,,,,,,,,,,,,,,,,,,checked,,,,,,checked,checked,,,,,
hand_tracking,checked,,,checked,,,,checked,,checked,checked,,,,,checked,checked,,,checked,,,,,,,checked,,checked,,,,checked,checked,checked,checked,,,,,
picture_taking,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,,,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked
video_recording,checked,checked,,checked,checked,,checked,checked,,checked,checked,checked,,,,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,,,checked,checked
video_streaming,checked,,,checked,,,checked,checked,checked,checked,checked,,,,,checked,checked,checked,,,,checked,checked,,checked,,checked,,checked,,,checked,checked,checked,checked,checked,,,,checked,checked
audio_calling,,,,,,,,,,,,,,,,checked,,,,,,,,,,,checked,,,,,,checked,checked,checked,checked,,,,checked,
body_recognition,,,,,checked,,,checked,,,,,,,,,,,,checked,,,,,,checked,,,,,,,checked,,checked,,,,checked,,
plane_detection,,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,checked,checked,checked,checked,checked,,checked,,checked,checked,checked,checked,checked,,checked,,,,checked,checked,checked,checked,,,,checked,
people_occlusion,checked,,,checked,checked,,checked,checked,,checked,checked,,,,,checked,checked,checked,,checked,,,checked,,checked,checked,checked,,checked,,,,,checked,checked,checked,checked,,,checked,checked
multi_object_tracking,,,,,checked,,,,,,,,,checked,,,,,,checked,,,,,,,,,,,,checked,checked,,,,checked,,checked,checked,
depth_sensing,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,checked,checked,checked,,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,,checked,checked,checked,checked,checked,checked,,checked,checked,checked
light_estimation,,,,,checked,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,
voice_recognition,checked,,,,,,,,,,checked,,,,,checked,checked,checked,,checked,,,,checked,,,checked,,,,,checked,,checked,checked,checked,checked,,,checked,
hand_control,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,,,,,checked,checked,checked,,,,checked,checked,checked,checked,checked,checked,,checked,,,,checked,checked,checked,checked,checked,checked,,checked,checked
eye_tracking,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,checked,,,,,,,,
spatial_anchor,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,checked,checked,checked,,checked,,checked,checked,checked,checked,checked,checked,,checked,,,,checked,checked,checked,checked,,,checked,checked,checked
show_2d_content,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked
show_3d_content,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,,,,checked,checked,checked,checked,,,checked,checked,checked
extended_tracking,checked,,checked,checked,checked,,checked,checked,checked,checked,checked,checked,,,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,checked,,checked,,,,,checked,checked,checked,,checked,checked,checked,checked
