Software,ObjectRecognition,6DoF,3DoF,Room/SceneTracking,MarkerTracking,FacialRecognition,GPS,non-native ,MotionCapture,HandTracking,ParticleSimulation (hide now),PictureTaking,VideoRecording,Communication_VideoStreaming,Communication_Calling,Light Projection,BodyRecognition,PlaneDetection,Cylinder/curvedSurfaceTracking,PeopleOcclusion,Multi-objectTracking,DepthSensing,LightingEstimation,VoiceRecognition,HandController,EyeTracking,Cloud/SpatialAnchor,Show2DContent,Show3DContent,ExtendedTracking
Vuforia,"yes. models targets + deep learning targets note:To recognize 3d objects: needs to be opaque, solid, few moving parts, high contrast coloring, convex, uniform shape. ",yes.,yes.,no.,yes.,no.,yes.,no.,no.,no.,yes. w/ unity,yes. w/ external cam,yes.,yes. chalk,yes. chalk,no.,no.,yes.,yes.,no.,yes. vuforia engine,no.,yes.,no.,yes. chalk,no.,no.,yes.,yes.,yes.
OpenCV,yes. long/complex dev time,yes.,yes.,yes.,yes. ArUCO provides a robust and fast camera pose estimation.,yes. with opencv plugin,no.,yes.,no.,yes.,no.,yes.,yes.,no.,no.,no.,yes.,"yes. AKAZE, ORB",yes.,no.,yes.,yes.,yes. c++,no.,no.,no.,no.,yes.,no.,no.
Unity3D,yes. with OpenCV plugin,yes. 8th wall,yes.,yes. w/ wikitude sdk,yes. 8th wall,yes. with opencv plugin,yes. arcore,yes.,yes. arkit,"yes. opencv, manomotion",yes.,yes.,yes.,no.,no.,no.,yes.,yes.,yes. w/ wikitude sdk,yes. w/ ar foundation,yes. vuforia engine,yes. arkit,yes. 8th wall,yes.,yes.,"yes. pupilcore,Tobii SDK",yes. arcore,yes.,yes.,yes. w/ vuforia
Wikitude SDK,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes. arkit 3,no.,no.,yes. screenshot,yes.,no.,no.,no.,no.,yes.,yes. ,yes. arkit,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes.
Spark AR,yes. target tracking,yes.,yes.,no.,yes. only supports 1 at a time,yes. extensive support with facial mesh,no.,no.,no.,yes. only through facebook app,yes.,yes.,yes.,yes.,no.,no.,"yes. w/ body 
segmentation",yes.,no.,yes. w/ body segmentation,no.,no.,yes.,"no.
",yes. supports touch gestures,yes. w/ iris tracking,no.,yes.,yes.,no.
ManoMotion,yes.,yes.,yes.,no.,no.,no.,no.,no.,yes.,yes.,no.,yes.,yes.,no.,no.,no.,yes.,yes.,no.,no.,yes. two hands,yes.,no.,no.,yes.,no.,no.,yes.,yes.,no.
Unreal Engine,yes. arkit 3,yes.,yes.,yes. arkit + arcore,yes. w/ arkit 3 + arcore,yes. arkit 3 + arcore,yes. arcore,no.,yes. arkit 3,possible. yes for vr w/magic leap,yes.,yes.,yes.,no.,no.,no.,yes.,yes. arcore,no.,yes. arkit,yes. arkit,yes.,yes.,yes.,yes.,yes. arkit,yes. arcore,yes.,yes.,yes. arkit
Apple ARKit,yes.,yes.,yes.,yes. https://developer.apple.com/documentation/arkit/understanding_world_tracking,yes.,yes. up to 3 faces,yes. w/ corelocation,no.,yes.,"yes. manomotion. else: hand as body track, fingers w/ CoreML",yes.,yes.,yes.,yes. ,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,yes. w/ vuforia
ARCore,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes. manomotion,yes.,yes.,yes.,no.,no.,no.,yes.,yes.,no.,possible. available soon,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,yes. w/ vuforia
AR.js ,yes.,yes.,yes.,no.,yes.,yes.,yes. ,yes.,yes.,no.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.,yes.,no.,possible. can track multiple markers,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,no.
