name,type,description,official_link,key_features,price,open_source_link,use_cases,curstomer_segment,related_softwares,related_hardwares,documentation_link,popularity,release_date,version,company,limitations,notes
Vuforia,software,"Vuforia is an engine supported in Unity. Vuforia is its own AR tech that runs in both iOS and Android and can run on older phones. Vuforia will use ARKit/ARCore tech if the hardware will support it. Vuforia also has other advanced features like image tracking, motion planning.",https://developer.vuforia.com/,,"Free to use, paid to publish
",,"Claims to be the most sophisticated and advanced AR content development solution
","Largest segment is to help industrial enterprise customers address workforce challenges and meet business goals.
","RKit, ARCore, Vuforia, 8th Wall
",," https://www.ptc.com/en/products/augmented-reality/vuforiaun
","Market-leading Enterprise AR
",,,"Unity Technologies, Qualcomm
","Vuforia is an old well-developed and great product. That supports the widest range of products.  There are no significant limitations of Vuforia when compare to ARCore and ARKitFor both apple and android. Costs money to publish application.
",
OpenCV,software,,,,,,,,,,,,,,,,
Unity3D,software,"Key features: Great for cross platform development, 
Language required: C# or JavaScript
One of the few great VR/AR real-time development tools
Asset store, 
Great documentation
Different rendering pipelines for different hardwares specs (HighDefinitionRenderingPipeline for AAA games and Universal Rendering Pipeline for mobile)
Friendly with many great softwares related to 3D real time development
",https://unity.com/,,"Free for hobby development. 
Pro License is $150 a month for professional development;
If one’s team grows and the game generates more revenue, Unity would charge more.",,Game development,,"Unreal, 3DS Max, Adobe Substance, Maya","Windows, Mac OS, Linux Desktop, iOS, Android, Xbox, Unity Web Player, PS VR, PS3, PS4, Google Cardboard, Oculus Rift, Android TV, WiiU, SamsungTV",https://docs.unity3d.com/Manual/index.html,One of the top choices,"Jun 8th, 2005",2019.3.1,Unity Technologies,"Graphics, 
Does not allow you to load your work from a template or foundation, Licensing is annoying,
Language: C#",
Wikitude SDK,software,"
Key features: Cloud AR, Geo AR, cross-platform with multiple language support",https://www.wikitude.com/products/wikitude-sdk/,,"Free trial; one-time fee: demo (499 euro), SDK Startup (499 euro), SDK Pro 3D (2490 euro); subscription: 2990+ euro",,,,,,https://www.wikitude.com/about/,,"Dec 1st, 2019",8.10.x,Wikitude,Demo youtube video seems subpar.,
Spark AR,software,,,"Extensive Face Tracking (with face mesh), Plane tracking, Hand Tracking (no gesture)",,,"Camera filters
",," SparkAR Hub, Instagram, Facebook",,"https://sparkar.facebook.com/ar-studio/learn/documentation/reference/scripting/summary/
",,2017,,,"Limited hand tracking, submission requires review process, only works on Facebook and Instagram apps.",
ManoMotion,software,,,,Free,,,,,,,,,,Facebook,,
Unreal Engine,software,"Key features:Technical art pipeline, world building, animation, simulation, optimization
One of the few great VR/AR real-time development tools
Offers one of the best graphics in real time development
Artist friendly software (no coding required)
Language supported: C++, Blueprints(visual programming)",,"Technical art pipeline, world building, animation, simulation, optimization
One of the few great VR/AR real-time development tools
Offers one of the best graphics in real time development
Artist friendly software (no coding required)
Language supported: C++, Blueprints(visual programming)","Free for hobby development.
5% royalty fee after the first 3000 dollars earned for professionals.
",,,"Game development
Architecture Visualization
",Unity,"
Windows, macOS, Linux, SteamOS, HTML5, iOS, Android, Nintendo Switch, PlayStation 4, Xbox One, Magic Leap One, and virtual reality (SteamVR/HTC Vive, Oculus Rift, PlayStation VR, Google Daydream, OSVR and Samsung Gear VR",https://docs.unrealengine.com/en-US/index.html,,"May 1st, 1998",4.24,Epic Games,"No support of Vuforia, less convenient for 2D",Not good for solo devs apparently
ARKit,software,Framework from Apple for building AR apps and games for iOS devices. High level API supplying powerful features for creating virtual objects. Utilizes SLAM to accurately map the surroundings.,,,"Free to use, paid to publish",,"Pokemon Go, Ikea Place, Snapchat
","iOS AR developers
",,," https://developer.apple.com/documentation/arkit/
","Most used framework for iOS AR applications
","Jul 1st, 2017",,Apple,"Apple: “Tracking is an inexact science. It relies on details of the physical environment that aren’t always consistent or are difficult to measure in real time without some degree of error.” https://developer.apple.com/documentation/arkit/understanding_world_trackingApple devices iPhone SE, iPhone 6s and later, iPad 2017 and later, all iPad Pro models",
ARCore,software,"Google’s platform for building AR experiences, using different APIs ARCore enables your phone to sense its environment, understand the world and interact with information.",,,Free ,,AR app building platform for Android devices.,"Android app users
",,,https://developers.google.com/ar/discover,,"Mar 1st, 2018","1.15.0
",Google,"Supported devices: Google Pixel, Pixel XL, Pixel 2, Pixel 2 XL, Samsung Galaxy S8
",
AR.js ,software,,,,,,,,,,,,,,,,
