name,object_recognition,dof_6,dof_3,room_scene_tracking,light_projection,image_tracking,facial_recognition,location_tracking,cross_compatibility,hand_tracking,picture_taking,video_recording,audio_calling,video_streaming,telepresence,body_recognition,plane_detection,depth_sensing,lighting_estimation,voice_recognition,hand_controls,eye_tracking,cloud_spatial_anchor,show_2d_content,show_3d_content,extended_tracking
Hololens2,yes. Object Recognition. Azure Custom Vision https://docs.microsoft.com/en-us/windows/mixed-reality/mr-azure-310,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,"yes. Support Windows Cortana
note: can work in noisy industrial environments",yes. possible to use remote,yes.,yes supported by Azure,yes. Can display 2D windows for some traditional apps,yes.,yes.
MagicLeap1,possible. has camera,yes.,yes.,yes. ,no.,yes.,possible. addon,yes.,yes,yes.,yes.,yes.,possible. can develop communication apps.,"yes. With the device stream functionality, you can stream.",yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes. spatial anchors are also shareable,yes.,yes.,yes.
NrealLight,possible. has camera,yes.,yes.,yes. SLAM,no.,yes. NRSDK,possible. addon,yes. Tethered,yes. can be connected to a variety of andriod phones or nreal computing unit,possible. addon,yes.,possible. has camera,"yes. ""Nreal glasses are now compatible with Android native apps, which means as long as the app is installed on the devices, users can view all app activity through their glasses.""",possible.,"no.
",no.,yes. NRSDK,yes. 2 cameras,yes.,no. tethered,no.,no.,yes. can be created on nreal with unity + azure,yes. mixed reality glasses,yes. mixed reality glasses,yes. SLAM
Epson_Moverio_BT300,yes. Object Recognition & Tracking Wikitude SDK SLAM. https://www.wikitude.com/external/doc/documentation/latest/epson/objecttracking.html#object-and-scene-recognition,no.,yes.,yes. Wikitude SDK SLAM,no.,yes. Wikitude SDK,yes. Wikitude SDK,yes. Tethered,yes. Wikitude SDK,"possible. with addon, e.g: uSens",yes.,yes.,yes.,yes.,"no.
",no.,yes. Wikitude SDK SLAM,no.,yes.,no.,no.,possible. addon e.g: Pupil Labs,yes. can be created using Wikitude Augmented Reality SDK for Epson Moverio Smart Glasses,yes,yes,yes. Wikitude SDK SLAM
ThirdEye_Gen_X2,possible. has camera,yes.,yes.,yes. VisionEye SLAM SDK,no.,yes. VisionEye SLAM SDK,yes.,yes. Tethered,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes. SLAM,yes. dual camera,yes.,yes. ThirdEye Voice Command API,yes.,no.,yes. VisionEye SLAM SDK,yes.,yes.,yes. VisionEye SLAM SDK
Vuzix_M400,possible. has camera,no.,yes.,no.,no.,yes.Wikitude SDK,no.,yes. Tethered,yes. Wikitude SDK,possible. addon kinemic band,yes.,yes.,yes.,yes.,"no.
",no.,no.,no.,yes.,yes.,yes.,no.,no.,yes.,no.,no.
Vuzix_Blade,possible. has camera,no.,yes.,no.,no.,no.,no.,yes. Tethered,yes. Android and iOS,possible. hand motion trackers,yes.,yes.,yes.,yes.,no.,no.,no.,no.,no.,yes. Alexa,yes. Phone (optional),no.,no.,yes.,no.,no.
Optinvent_ORA-2,possible. has camera,no.,yes.,no.,no.,no.,no.,yes. ,no.,no. addon,yes.,yes.,yes.,yes.,no.,no.,no.,no.,yes. 8 bit ambient light sensor,yes.,yes.,no.,no.,yes.,no.,no.
Dreamworld_DreamGlass,possible. has camera,possible. with addons,yes.,yes. Tracking is inconsistent,no.,yes.,no.,yes. Tethered,yes.,yes. limited,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,yes.,no.,no.,no.,yes.,yes.,yes.,yes.
Project_North_Star,possible. has camera,yes.,yes.,yes,no.,yes,possible. addon,yes. Tethered,no.,possible. addon leap motion,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,yes.,no.,no.,possible. addon e.g: Pupil Labs,yes.,yes.,yes.,yes.
Rokid_Project_Aurora,"yes. Detection and tracking not recognition. note: once the LightForm scans something, it can realign projection if it was moved.",yes.,yes.,yes. SLAM,no.,no.,yes.,possible. depends on device,"yes. USB-c connection to nintendo switch, android, ios, ipad pro",yes. able to recognize gestures,yes.,yes.,yes.,no.,yes.,no.,yes. SLAM,yes.,no.,no.,yes. tethered phone,no.,yes.,yes.,yes.,yes.SLAM
Tesseract_Holoboard_Premium_Edition,no.,yes.,yes. ,yes.,no.,yes.,no.,yes. ,yes. any smarphone + holoboard HDK app,yes. limited,no.,yes.,yes.,yes.,yes.,no.,yes.,yes.,no.,no.,yes. bluetooth remote,no.,yes.,yes.,yes.,no.
