name,type,description,company,official_link,price,how_to_buy,use_cases,customer_segment,related_softwares,related_hardwares,documentation_link,popularity,release_date,version,compatibility,operating_system,weight,dimension,resolution,field_of_view,possible_interactions,limitations,notes
Hololens2,Hardware,"Microsoft HoloLens 2 is a pair of untethered mixed reality smart glasses with powerful computing capability. Wearing the headset, you are able to use hands and fingers to interact with virtual objects or speak to give your commands. The headset can scan and understand your environment and objects within so that virtual objects can be interacted with the real world objects. Spatial remote collaboration allows you to meet up with people’s digital avatars and collaboration in real time. Currently, hololens 2 is mainly targeted to enterprises for training purposes and is hard to get.",Microsoft,https://www.microsoft.com/en-us/hololens/buy,"$3,500",contact the sales team,"Remote Assist, Industrial Medical and Educational Training, Games & Entertainment","Enterprise, developers","Dynamics 365 Remote Assist, Azure Spatial Anchors, Remote Rendering, Azure Digital Twins, Unity, PiXYZ, Microsoft Edge",Azure Kinect DK,https://docs.microsoft.com/en-us/hololens/,50000 sold,"Feb 24th, 2019",2,"Cross-platform support: Deliver the value of mixed reality across mobile devices, headsets, PCs, and augmented reality (AR) platforms. Azure Kinect DK supports Windows and Linux (preview), and mixed reality services on Azure support development for HoloLens, iOS, and Android.",Windows Holographic Operating System,566g,,2K per eye,52,"Hand tracking, Eye tracking, Voice recognition, Windows Hello, Spatial Mapping(means Real-time environment mesh), Mixed Reality Capture(means Mixed hologram and physical environment photos and videos)","FoV still is not big enough
Hand tracking has to be in view",Difficult to order
MagicLeap1,Hardware,"Magic leap 1 is a mixed reality headset. The pair of glasses runs on a computing unit tethered to it. The glasses can track the physical environment so virtual objects can interact with the physical world. Users can use a controller or limited hand motions to control. Currently, magic leap has many great home & entertainment applications. The company is also willing to collaborate with enterprises.",Magic Leap,https://www.magicleap.com/en-us,"$2,295",online,"Games & Entertainment, Training, Architecture","Enterprise, consumers, developers","Lumin SDK, Unity, Unreal Engine",,https://developer.magicleap.com/home,6000 sold,"Aug 25th, 2017",1,Magic Leap Toolkit (MLTK) provides developers with a set of useful tools that solve specific real-world problems and extend functionality when developing Magic Leap apps in Unity® Software and Unreal Engine.,Lumin OS,316g,,1440 x 1600,50,"eye tracking, hand tracking 8 gestures, spatial tracking, 6dof controller","tethered power unit, limited hand motions, limited field of view","slightly worse world tracking than hololens, behind in terms of content compared to hololens 2"
NrealLight,Hardware,"Nreal Light is a pair of lightweight mix reality glasses. The glasses mainly target to consumers and developers. It runs on a tethered computing unit or Android phones, which serve as controllers. Popular use cases include shopping, games and entertainment.",Nreal,https://www.nreal.ai/,$499,available for sale in early 2020,"Everyday use and wear, Games & Entertainment","Consumers, developers","nrsdk, Unity, Unreal Engine",Android phones,https://developer.nreal.ai/develop/discover/introduction-nrsdk,,2020,,The glass is able to run on a variety of andriod phones.,Nebula: Android based OS,88g,,1080p,52,"spatial tracking, 3dof controller",tethered,Users could add on lenses to fit to one’s eyesight; The glass is lightweight and quite fashionable.
Epson_Moverio_BT300,Hardware,"Experience a new way of seeing the world with the revolutionary Moverio BT-300 smart glasses from Epson®. These highly transparent glasses redefine augmented reality (AR) with a groundbreaking Si-OLED display. Superior transparency, plus a high-resolution camera, ensures seamless integration of digital content with the outside world. Ultra light and comfortable to wear, even over prescription glasses, the BT-300 features a binocular display, making it ideal for side-by-side 3D content. With wireless and Bluetooth® Smart (BLE) connectivity, it supports a wide range of accessories. Powered by an Intel® Atom chipset, running Moverio OS, the BT-300 is the ideal platform for developing AR apps.",Epson,https://epson.com/moverio-augmented-reality-smart-glasses-for-drone-flying,$699,online,"Education, fitness training, sports, drone, watch videos","Consumers, developers","Moverio SDK, wikitude, augumenta","DJI Drones, phones",https://epson.com/moverio-augmented-reality-developers?pg=5#,popular in DJI drone industry,2016,"300, previously BT-200",“Dual-band wireless connectivity and Bluetooth Smart (BLE) enable integration with a wide range of accessories”,Moverio OS,"Headset 69g, Controller 129g",,1280 x 720,23,controller,tethered,"DJI Drones: See camera view from the drones, overall flight status, flight mode, compass, batteries, number of satellites. This information is usually shown on phones when using phones to operate. Now on glasses; The glass is very narrow so the users’ peripheral vision is very open; Clear lenses with polar filter addons; Able to be worn with glasses on."
ThirdEye_Gen_X2,Hardware,"Lightweight mixed reality glasses. At 9.8 ounces, the X2 Mixed Reality Glasses fit a wide field of view, contain powerful sensors, and come with the VisionEye SLAM SDK into an exceptionally minimalistic form factor.",ThirdEye,https://thirdeyegen.com/,"$1,950",In production,"Remote Assist, Game & Entertainment, Industrial, Medical and Educational Training, Architecture","Enterprise, consumers, developers",VisionEye SLAM SDK,X1,https://thirdeyegen.com/documentation,,2020,"X2, previous X1","Android, Unity",Android OS,278g,,1280 x 720,42,"6dof, gestures, voice commands",,"3D tracking, occlusion, indoor/outdoor use"
Vuzix_M400,Hardware,"The Vuzix M400 is a pair of professional augmented reality smart glasses made by Vuzix, a manufacturer based in the US. With this glasses on, warehousing employees can scan items by looking at them. Engineers can pull up instructions or call colleagues to get helps.
",Vuzix,https://www.vuzix.com/products/m400-smart-glasses,"$1,799",online,"Warehouse scanning, Remote Assist",enterprise,,,,,2020,"M400, previous M300, M100","Android, iOS",Android 8.1 OS,85g,,nHD color display,17,"multi finger tracking, 3dof, motion tracking, touchpad",,
Vuzix_Blade,Hardware,"Blade is a glasses version of smart phones. Paired with phones, users are able to see all the notification sent to phones. Waveguide optics project a see-through image to the user. These advanced optics do not obstruct regular vision and allow the user to perfectly switch between the digital world and reality.",Vuzix,https://www.vuzix.com/products/blade-smart-glasses,$800,online,"Smart phones displays, daily wear and use",Consumers,"Vuzix app on phones, Amazon Alexa, Google assistance","Android smart phones, Iphones",,,,Blade,"Android, iOS",Android OS,94g,,,,"touchpad, voice commands",unable to interact with the virtual contents,
Optinvent_ORA-2,Hardware,"The ORA-2 is a true “wearable tablet” which allows a multitude of applications. It is Comfortable, ergonomic and mobile: The ORA-2 enables hands free mobile computing and AR applications such as remote maintenance, logistics, remote training, situation awareness, and much more. It can run applications as a standalone wearable computer and can connect to the network via WiFi and to any smart device via Bluetooth. ",Optinvent,http://www.optinvent.com/our_products/ora-2/,$910,online,"Smart phones displays, daily wear and use",Consumers,Android SDK,ORA-X,,,2014,ORA-2,Android,Android AOSP 4.4.2,90g,,42 pixels/deg,,trackpad,,can be worn over eye glasses
Dreamworld_DreamGlass,Hardware,"DreamGlass Air is a lightweight personal cinema that plays on its 100” AR screen anything from your smartphone/tablet (Android,iPhone,iPad), game consoles (PS4, Xbox, Nintendo Switch), PC&Mac, and other electronic devices. It frees up your hands and shows everything in private, delivering the most comfortable viewing experience.",DreamWorld,https://www.dreamworldvision.com/,$799,online,personal virtual screen,Consumer,Unity SDK,"Smart phones, PC, game consoles",https://www.dreamworldvision.com/developers,,2018,1,"Unity, Android, PC Samsung: S8, S8 plus, Note 8, S9, S9 plus,Note 9,S10, S10 plus Huawei: Mate 10, Mate 10 Pro, P20, P20 pro, Mate 20, Mate 20 Pro,P30, P30 Pro",Microsoft Windows,240g,,"1280 x 880 per eye, 2560 x 800 total",90,"3dof (6dof with addons), limited hand gestures",advertised for screen mirror,currently developing iOS compatibility
Project_North_Star,Hardware,Project North Star is a affordable Modular AR headset with opensource code. One can buy the full kit or 3D print parts and assesmble.,Leap Motion,https://developer.leapmotion.com/northstar,$500 for fully assembled,"opensource, build your own or buy fully assembled https://www.smart-prototyping.com/Project-North-Star-Kit",anything that you want to develop,Developers,LeapC API,Leap Motion,https://developer.leapmotion.com/documentation/,,,,"unity, unreal",,,,1600 x 1440 per eye,100,Hand tracking 180 degrees,,I think this would be good to check out
