name,object_recognition,dof_6,dof_3,room_scene_tracking,image_tracking,facial_recognition,location_tracking,cross_platform,motion_tracking,hand_tracking,picture_taking,video_recording,video_streaming,audio_calling,body_recognition,plane_detection,people_occlusion,multi_object_tracking,depth_sensing,lighting_estimation,voice_recognition,hand_controls,eye_tracking,cloud_spatial_anchor,show_2d_content,show_3d_content,extended_tracking,Name
Vuforia,"yes. models targets + deep learning targets note:To recognize 3d objects: needs to be opaque, solid, few moving parts, high contrast coloring, convex, uniform shape. ",yes.,yes.,no.,yes.,no.,yes.,no.,no.,no.,yes. w/ external cam,yes.,yes. chalk,yes. chalk,no.,yes.,no.,yes. vuforia engine,no.,yes.,no.,yes. chalk,no.,no.,yes.,yes.,yes.,Annika
OpenCV,yes. long/complex dev time,yes.,yes.,yes.,yes. ArUCO provides a robust and fast camera pose estimation.,yes. with opencv plugin,no.,yes.,no.,yes.,yes.,yes.,no.,no.,yes.,"yes. AKAZE, ORB",no.,yes.,yes.,yes. c++,no.,no.,no.,no.,yes.,no.,no.,Annika
Unity3D,yes. with OpenCV plugin,yes. 8th wall,yes.,yes. w/ wikitude sdk,yes. 8th wall,yes. with opencv plugin,yes. arcore,yes.,yes. arkit,"yes. opencv, manomotion",yes.,yes.,no.,no.,yes.,yes.,yes. w/ ar foundation,yes. vuforia engine,yes. arkit,yes. 8th wall,yes.,yes.,"yes. pupilcore,Tobii SDK",yes. arcore,yes.,yes.,yes. w/ vuforia,Annika
Wikitude_SDK,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes. arkit 3,no.,yes. screenshot,yes.,no.,no.,no.,yes.,yes. arkit,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,Annika
SparkAR,yes. target tracking,yes.,yes.,no.,yes. only supports 1 at a time,yes. extensive support with facial mesh,no.,no.,no.,yes. only through facebook app,yes.,yes.,yes.,no.,"yes. w/ body 
segmentation",yes.,yes. w/ body segmentation,no.,no.,yes.,"no.
",yes. supports touch gestures,yes. w/ iris tracking,no.,yes.,yes.,no.,Mingi
ManoMotion,yes.,yes.,yes.,no.,no.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,no.,yes. two hands,yes.,no.,no.,yes.,no.,no.,yes.,yes.,no.,Annika
Unreal_Engine,yes. arkit 3,yes.,yes.,yes. arkit + arcore,yes. w/ arkit 3 + arcore,yes. arkit 3 + arcore,yes. arcore,no.,yes. arkit 3,possible. yes for vr w/magic leap,yes.,yes.,no.,no.,yes.,yes. arcore,yes. arkit,yes. arkit,yes.,yes.,yes.,yes.,yes. arkit,yes. arcore,yes.,yes.,yes. arkit,Annika
ARKit,yes.,yes.,yes.,yes. https://developer.apple.com/documentation/arkit/understanding_world_tracking,yes.,yes. up to 3 faces,yes. w/ corelocation,no.,yes.,"yes. manomotion. else: hand as body track, fingers w/ CoreML",yes.,yes.,yes. ,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,yes. w/ vuforia,Annika
ARCore,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes. manomotion,yes.,yes.,no.,no.,yes.,yes.,possible. available soon,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,yes. w/ vuforia,Annika
AR_js ,yes.,yes.,yes.,no.,yes.,yes.,yes. ,yes.,yes.,no.,yes.,yes.,no.,no.,yes.,yes.,no.,possible. can track multiple markers,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,no.,Xuehao
8th_Wall ,yes.,yes.,yes.,yes.,yes.,yes.,yes. ,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,no.,Xuehao
Three_js ,yes.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,no.,yes.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,Xuehao
A_Frame ,yes.,yes.,yes.,yes.rely on 8th wall,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,no.,yes.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,Xuehao
Amazon_Sumerian ,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes. using Iframe,yes. ,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,no.,Xuehao
Babylon_js ,yes.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.gaze ,no.,yes.,yes.,no.,Xuehao
PlayCanvas ,yes.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,no.,no.,yes.,no.,yes.,yes.,yes.,no.,Xuehao
Lens_Studio,yes.,yes.,yes.,yes. w/ native ar,yes. (do not support for multiple image tracking),yes. multiple,no.,no.,yes.,yes. but not fingers ,yes.,yes.,yes.,yes.,yes.,yes. w/ native ar,no.,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes. rotational,Annika
