application_name,object_recognition,dof_6,dof_3,room_scene_tracking,image_tracking,facial_recognition,location_tracking,cross_platform,motion_tracking,hand_tracking,picture_taking,video_recording,video_streaming,audio_calling,body_recognition,plane_detection,people_occlusion,multi_object_tracking,depth_sensing,light_estimation,voice_recognition,hand_control,eye_tracking,spatial_anchor,show_2d_content,show_3d_content,extended_tracking
AMBEO Augmented Audio Lab,no.,yes.,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,no.,yes.,no.,yes.(only recording),yes.,no.,yes.,yes.,yes.,yes.
AmiKasa,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,yes.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,yes.,no.
Angry Birds,no.,yes.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,yes.,no.,yes.,yes.,yes.,yes.
Angry Birds FPS,no.,yes.,yes.,yes.,no.,no.,yes.,yes.,no.,yes.(using controller),yes.,yes.,yes.,no.,no.,yes.,yes.,no.,yes.,no.,no.,yes. ,no.,yes.,yes.,yes.,yes.
BMW Head-up Display,yes.,yes.,yes.,possible. road and environment sence,no.,no.,yes.,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,no.,yes.
Civilisations AR,no.,yes.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,yes.,no.,yes.,yes.,yes.,no.
Curate,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,yes.,yes.,yes.,no.,no.,yes.,yes.,no.,yes.,no.,no.,yes. ,no.,yes.,yes.,yes.,yes.
Dr G Invaders,yes.,yes.,yes.,yes.,no.,no.,yes.,no.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,possible.,yes.,no.,no.,yes. ,no.,yes.,yes.,yes.,yes.
FlippyFriendsAR,no.,yes.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,yes.,no.,no.,yes.,no.,no.,yes.,no.,no.,yes.,no.,yes.,no.,yes.,yes.
Fragments,no.,yes.,yes.,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,no.,yes.,no.,no.,yes. ,no.,yes.,yes.,yes.,yes.
