id,AMBEO Augmented Audio Lab,AmiKasa,Angry Birds,Angry Birds FPS,BMW Head-up Display,Civilisations AR,Curate,Dr G Invaders,FlippyFriendsAR,Fragments,Galaxy Explorer,GIPHY World,Google Maps,Google Translate,Holo,HoloAnatomy,HoloHuman,HoloTour,Houzz,IBM,IKEA place,Just a line,Magic Leap Create,Mondly,Obsess ,Pok_mon Go,PresentAR,Quiver,SeeSignal,Sephora Virtual Artist,Sky View,Skylight,Snapchat,Spatial.io,Spatial.io,Virtual training programs,Vision Picking,WallaMe,Wanna Kicks,WorkLink,WSJ Stock Data
object_recognition,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,possible. can scan the buildings,no.,no.,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,yes.,no.,no.,no.,yes.,no.,yes.,no.,no.
dof_6,yes.,no.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,possible.,yes.,yes.,yes.,yes.,yes.,yes.,yes. ,yes.,yes. ,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.
dof_3,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.
room_scene_tracking,yes.,no.,no.,yes.,possible. road and environment sence,no.,no.,yes.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,possible. can sence environment,no.,yes.(only one wall),no.,no.,no.,no.,no.,no.
image_tracking,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,yes.,yes.,no.,no.,no.,yes.,no.,no.,no.,no.
facial_recognition,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,yes. add interactive sticker to face including animal face,no.,no.,no.,no.,no.,no.,no.,no.
location_tracking,yes.,no.,no.,yes.,yes.,no.,no.,yes.,no.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.
cross_platform,no.,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,no.,yes.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,no.,yes.,yes.,no.,yes.,no.,yes.,yes.,no.,yes.,yes.,yes.,no.
motion_tracking,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,yes.,yes.,no.,no.,no.,no.,no.
hand_tracking,yes.,no.,no.,yes.(using controller),no.,no.,no.,yes.,no.,yes.,yes.,no.,no.,no.,no.,yes.,yes.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,yes.,no.,yes.,no.,no.,no.,yes. track hands postion and rotation,yes.,yes.,yes.,no.,no.,possible. foot tracking,no.,no.
picture_taking,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.
video_recording,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.
video_streaming,yes.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,no.,no.,no.,no.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.,no.,yes.,no.,yes.,no.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.
audio_calling,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,no.
body_recognition,no.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,yes.,no.,yes.,no.,no.,no.,yes.,no.,no.
plane_detection,no.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,no.
